no;dapil;partai;nama;jk;lokasi
587;aceh-utara;HANURA;RAJUDDIN, SH;Laki-Laki;KOTA LHOKSEUMAWE
588;aceh-utara;HANURA;JAINAKRI PHONNA, SH;Laki-Laki;KOTA LHOKSEUMAWE
589;aceh-utara;HANURA;ERI MAULANA;Perempuan;ACEH UTARA
590;aceh-utara;HANURA;DEDI SAPRIADI, S.Pd;Laki-Laki;ACEH UTARA
591;aceh-utara;HANURA;AZMI;Laki-Laki;KOTA LHOKSEUMAWE
592;aceh-utara;HANURA;RISKA NOVIDA;Perempuan;KOTA LHOKSEUMAWE
593;aceh-utara;HANURA;M. NASIR;Laki-Laki;ACEH UTARA
594;aceh-utara;HANURA;SUDIRMAN;Laki-Laki;ACEH UTARA
595;aceh-utara;HANURA;NURMASYITHAH;Perempuan;ACEH UTARA
596;aceh-utara;HANURA;HARMAINI;Laki-Laki;ACEH UTARA
597;aceh-utara;HANURA;MAWARDI, SP;Laki-Laki;ACEH UTARA
598;aceh-utara;HANURA;ROSDIANA, S.Pd.AUD;Perempuan;ACEH UTARA
602;aceh-utara;PKS;FUADY, ST, M.SI;Laki-Laki;KOTA BANDA ACEH
603;aceh-utara;PKS;ILYAS ISHAK;Laki-Laki;ACEH UTARA
604;aceh-utara;PKS;HJ. DRA, NURHAYATI AY, MM;Perempuan;KOTA LHOKSEUMAWE
605;aceh-utara;PKS;HAMDANI, ST, M.S.M;Laki-Laki;KOTA LHOKSEUMAWE
606;aceh-utara;PKS;ARMIYADI, SP;Laki-Laki;ACEH UTARA
607;aceh-utara;PKS;ASRI SAFWANTI;Perempuan;ACEH UTARA
608;aceh-utara;PKS;DRS.. SYAMSUL BAHRI, M. PD;Laki-Laki;KOTA LHOKSEUMAWE
609;aceh-utara;PKS;A. WAHAB ABDULLAH;Laki-Laki;KOTA LHOKSEUMAWE
610;aceh-utara;PKS;DARMIATI;Perempuan;ACEH UTARA
611;aceh-utara;PKS;M. JUBIR;Laki-Laki;ACEH UTARA
612;aceh-utara;PKS;SRI WAHYUNI, S.PD.I;Perempuan;ACEH UTARA
613;aceh-utara;PKS;SYAMSUDDIN AYAH PANTON;Laki-Laki;ACEH UTARA
616;aceh-utara;PKB;HALIMATUSSAKDIAH, SE;Perempuan;JAKARTA PUSAT
620;aceh-utara;PKB;IRMA SURYANI;Perempuan;ACEH UTARA
621;aceh-utara;PNA;DEDI SAFRIZAL;Laki-Laki;ACEH UTARA
622;aceh-utara;PNA;MUKHTAR DAUD;Laki-Laki;ACEH UTARA
623;aceh-utara;PNA;SUKMA DEWI;Perempuan;KOTA LHOKSEUMAWE
624;aceh-utara;PNA;SABRI ISMAIL;Laki-Laki;ACEH UTARA
625;aceh-utara;PNA;ZUHDI;Laki-Laki;KOTA LHOKSEUMAWE
626;aceh-utara;PNA;HUSNADIAH;Perempuan;ACEH UTARA
627;aceh-utara;PNA;ACHMAD DANNY;Laki-Laki;ACEH UTARA
628;aceh-utara;PNA;MUSAUWIR;Laki-Laki;ACEH UTARA
629;aceh-utara;PNA;MARDIANA;Perempuan;ACEH UTARA
630;aceh-utara;PNA;KHAIDIR;Laki-Laki;KOTA LHOKSEUMAWE
631;aceh-utara;PNA;M RAJAB;Laki-Laki;ACEH UTARA
632;aceh-utara;PNA;NURUL HAFNI;Perempuan;KOTA LHOKSEUMAWE
645;aceh-utara;PPP;FAKHURRAZI H. CUT (F. ROZI);Laki-Laki;ACEH UTARA
646;aceh-utara;PPP;Dr. ZAINUDDIN IBA, SE.MM;Laki-Laki;KOTA LHOKSEUMAWE
647;aceh-utara;PPP;IDA ROYANI;Perempuan;ACEH UTARA
648;aceh-utara;PPP;TGK H RASYIDIN ABDULLAH;Laki-Laki;ACEH UTARA
649;aceh-utara;PPP;MUHAMMAD AR, S.Sos;Laki-Laki;ACEH UTARA
650;aceh-utara;PPP;AGUSTRI YANTI, S.Pd.I;Perempuan;ACEH UTARA
651;aceh-utara;PPP;TGK. BUSTAMAM, S.Pd.I;Laki-Laki;ACEH UTARA
652;aceh-utara;PPP;TGK. IBNU HAJAR;Laki-Laki;ACEH UTARA
653;aceh-utara;PPP;MUTIA;Perempuan;ACEH UTARA
654;aceh-utara;PPP;TGK ABDUL MUNIR;Laki-Laki;ACEH UTARA
655;aceh-utara;PPP;BAHRUL KIRAM, S.Pd.I;Laki-Laki;ACEH UTARA
656;aceh-utara;PPP;HUSNIAH, S.E;Perempuan;ACEH UTARA
657;aceh-utara;SIRA;ABDUL HADI;Laki-Laki;KOTA LHOKSEUMAWE
659;aceh-utara;SIRA;MAHDALENA;Perempuan;KOTA LHOKSEUMAWE
662;aceh-utara;SIRA;MIFTAHUL JANNAH, ST;Perempuan;KOTA BANDA ACEH
663;aceh-utara;SIRA;MUHAMMAD DAUD, SKM., M.Si;Laki-Laki;KOTA BANDA ACEH
664;aceh-utara;SIRA;SATRIA PUTRA, A. Md. Kep;Laki-Laki;ACEH UTARA
668;aceh-utara;SIRA;AMIRANDA AB;Laki-Laki;ACEH UTARA
674;aceh-utara;PERINDO;MURTALA;Laki-Laki;ACEH UTARA
675;aceh-utara;PERINDO;LUL AMRI MUHAMMAD;Laki-Laki;ACEH UTARA
693;aceh-utara;PBB;MAWARDI ABDULLAH, M.M.;Laki-Laki;JAKARTA SELATAN
704;aceh-utara;DEMOKRAT;MUSLIM, SHI.MM;Laki-Laki;JAKARTA SELATAN
705;aceh-utara;DEMOKRAT;MIRNAWATI;Perempuan;KOTA LANGSA
706;aceh-utara;DEMOKRAT;HAMDAN SATI, ST;Laki-Laki;ACEH TAMIANG
707;aceh-utara;DEMOKRAT;JAMALUDDIN T MUKU;Laki-Laki;KOTA BANDA ACEH
708;aceh-utara;DEMOKRAT;KAUTSAR MUHAMMAD YUS;Laki-Laki;KOTA BANDA ACEH
709;aceh-utara;DEMOKRAT;PINUS YANI;Perempuan;ACEH BESAR
714;aceh-utara;GERINDRA;FERRY MUNANDAR, ST;Laki-Laki;KOTA BANDA ACEH
715;aceh-utara;GERINDRA;Ir. H. NASARUDDIN, MM;Laki-Laki;ACEH TENGAH
717;aceh-utara;PARTAI GERAKAN PERUBAHAN INDONESIA;AGUSTIAWAN NUR, SE;Laki-Laki;KOTA LHOKSEUMAWE
718;aceh-utara;PARTAI GERAKAN PERUBAHAN INDONESIA;TGK. MUNTAHA;Laki-Laki;ACEH UTARA
719;aceh-utara;PARTAI GERAKAN PERUBAHAN INDONESIA;WARDANI MARLINA, SE;Perempuan;BOGOR
720;aceh-utara;GOLKAR;ILHAM PANGESTU;Laki-Laki;KOTA LANGSA
721;aceh-utara;GOLKAR;DRS. H. MARZUKI DAUD;Laki-Laki;JAKARTA TIMUR
722;aceh-utara;GOLKAR;CUT RIZKA SEPTIANI, M.Si;Perempuan;JAKARTA SELATAN
723;aceh-utara;GOLKAR;FIRMANDEZ, S.E., Ak.;Laki-Laki;JAKARTA SELATAN
724;aceh-utara;GOLKAR;REDUK NILAWARNI, S.Pd;Perempuan;JAKARTA TIMUR
725;aceh-utara;GOLKAR;T. YUSNI;Laki-Laki;ACEH TAMIANG
726;aceh-utara;HANURA;MIRWAN AMIR;Laki-Laki;JAKARTA SELATAN
727;aceh-utara;HANURA;SARA NAIDU;Perempuan;JAKARTA SELATAN
728;aceh-utara;HANURA;TATA MOEDA TAQWA;Laki-Laki;KOTA LANGSA
729;aceh-utara;HANURA;ALAMSYAH;Laki-Laki;ACEH TENGAH
730;aceh-utara;HANURA;MAULIZA WULANDARI;Perempuan;KOTA LHOKSEUMAWE
731;aceh-utara;HANURA;SANDY PANGESTU;Laki-Laki;BENER MERIAH
732;aceh-utara;PARTAI KEADILAN DAN PERSATUAN INDONESIA;USWATUN CHASANAH;Perempuan;SUKOHARJO
734;aceh-utara;PKS;TGK. H. MUHAMMAD NUR, M. Si;Laki-Laki;ACEH UTARA
737;aceh-utara;PKS;BARMANSYAH;Laki-Laki;JAKARTA SELATAN
738;aceh-utara;PKS;M. YUSUF ISMAIL PASE, SH, MH;Laki-Laki;KOTA LHOKSEUMAWE
741;aceh-utara;PKB;SAYUTI, SH.MH;Laki-Laki;JAKARTA SELATAN
742;aceh-utara;PKB;SRI ARIANA NINGSIH;Perempuan;KOTA BANDA ACEH
743;aceh-utara;PKB;RUSLAN M. DAUD;Laki-Laki;BIREUEN
744;aceh-utara;PKB;RAHMI ABDI;Perempuan;ACEH BESAR
745;aceh-utara;PKB;FAISAL RIDHA, S.Ag., MM;Laki-Laki;ACEH BESAR
746;aceh-utara;PARTAI NASDEM;ZULFAN LINDAN;Laki-Laki;JAKARTA SELATAN
747;aceh-utara;PARTAI NASDEM;MUHARUDDIN;Laki-Laki;KOTA BANDA ACEH
750;aceh-utara;PARTAI NASDEM;DR. IBRAHIM HASYIM SE, MM;Laki-Laki;JAKARTA BARAT
756;aceh-utara;PPP;JAMALUDIN, SE;Laki-Laki;ACEH UTARA
758;aceh-utara;PSI;KAMARUDDIN, SH;Laki-Laki;ACEH TAMIANG
764;aceh-utara;PERINDO;GIVIANNA ELY;Perempuan;ACEH BESAR
765;aceh-utara;PERINDO;HERMAN KOSASIH;Laki-Laki;KOTA BANDA ACEH
766;aceh-utara;PERINDO;HERMAN BAHARI, S.H;Laki-Laki;ACEH TAMIANG
767;aceh-utara;PERINDO;RAZALI ZAINUDDIN, A.Md.;Laki-Laki;ACEH UTARA
768;aceh-utara;PERINDO;NURHAYATI;Perempuan;BIREUEN
781;asahan;PARTAI BERKARYA;HAMDAN BATUBARA;Laki-Laki;DELI SERDANG
794;asahan;PDIP;TEYZA CIMIRA TISYA, SH;Perempuan;ASAHAN
795;asahan;PDIP;DEVANDA ADITYA PUTRA;Laki-Laki;JAKARTA PUSAT
796;asahan;PDIP;LESTERIA, SH;Perempuan;BATU BARA
797;asahan;PDIP;ZUBEL SITORUS, ST;Laki-Laki;KOTA MEDAN
799;asahan;PDIP;JULIATI PANJAITAN;Perempuan;KOTA TANJUNG BALAI
801;asahan;DEMOKRAT;H. SANTOSO, SH;Laki-Laki;ASAHAN
802;asahan;DEMOKRAT;ABDUL HALIM;Laki-Laki;ASAHAN
803;asahan;DEMOKRAT;SUSAN NOVITA SARI;Perempuan;ASAHAN
804;asahan;DEMOKRAT;ZULKIFLI, S.PD.I;Laki-Laki;KOTA MEDAN
805;asahan;DEMOKRAT;Drs.H.. DARWIS, MSi;Laki-Laki;BATU BARA
806;asahan;DEMOKRAT;Hj. ASBAH ARIANTY;Perempuan;DELI SERDANG
807;asahan;DEMOKRAT;MUHAMMAD ARIEF TAMPUBOLON, SH;Laki-Laki;KOTA MEDAN
808;asahan;DEMOKRAT;QAHFI ROMULA SIREGAR, MM;Laki-Laki;KOTA MEDAN
809;asahan;DEMOKRAT;IRNA KARINA KABAN;Perempuan;KOTA MEDAN
810;asahan;DEMOKRAT;H. ARMYN SIMATUPANG;Laki-Laki;KOTA MEDAN
811;asahan;GERINDRA;SRI KUMALA, SE.MM;Perempuan;ASAHAN
812;asahan;GERINDRA;IR. KHAIRUL SALEH, MT;Laki-Laki;ASAHAN
813;asahan;GERINDRA;ZULFAN, ST;Laki-Laki;KOTA MEDAN
814;asahan;GERINDRA;PAGAR JENSWIN PANDIANGAN, S.Ked;Laki-Laki;BATU BARA
816;asahan;GERINDRA;AFRIZA AFNI, IM;Perempuan;ASAHAN
817;asahan;GERINDRA;BENNY HIDAYAT;Laki-Laki;KOTA MEDAN
820;asahan;GERINDRA;KUMALAWATI;Perempuan;ASAHAN
821;asahan;GERINDRA;ZUL BAHARI AMRA SH;Laki-Laki;KOTA MEDAN
822;asahan;GOLKAR;DIA RAMAYANA, S.Th.I., MM;Perempuan;JAKARTA SELATAN
823;asahan;GOLKAR;MAHYARUDDIN SALIM B;Laki-Laki;KOTA TANJUNG BALAI
824;asahan;GOLKAR;ROMAY NOOR;Laki-Laki;KOTA TANJUNG BALAI
826;asahan;GOLKAR;H. SELAMAT, SE., M.Si;Laki-Laki;BATU BARA
829;asahan;GOLKAR;USMAN MARPAUNG, S.Pd;Laki-Laki;ASAHAN
834;asahan;HANURA;EBENEJER SITORUS, SE;Laki-Laki;ASAHAN
840;asahan;HANURA;ZULKIFLI AR, SH, M. Hum;Laki-Laki;KOTA MEDAN
854;asahan;PKS;AHMAD HADIAN, S.Pd.I.;Laki-Laki;BATU BARA
855;asahan;PKS;YUSWIN ISKANDAR YUSLAN, S.E.;Laki-Laki;KOTA MEDAN
856;asahan;PKS;IKA MEISITA, S.Pd.;Perempuan;KOTA TANJUNG BALAI
862;asahan;PKB;SUHERDI;Laki-Laki;KOTA MEDAN
863;asahan;PKB;NG KOK PHENG ALIAS SUHARDY;Laki-Laki;KOTA TEBING TINGGI
864;asahan;PKB;FEBRI RISMA DARA;Perempuan;ASAHAN
865;asahan;PKB;DRG. ABDUL HALIM, MPPM;Laki-Laki;BOGOR
866;asahan;PKB;MUHAMMAD JA?FAR HASIBUAN, S.Pd.I;Laki-Laki;PADANG LAWAS UTARA
867;asahan;PKB;IRMA DANI;Perempuan;KOTA MEDAN
868;asahan;PKB;HENDRIANTO;Laki-Laki;ASAHAN
869;asahan;PARTAI NASDEM;ARIS HARIANTO, SE,MM;Laki-Laki;BATU BARA
871;asahan;PARTAI NASDEM;PARLINDUNGAN SINAGA, SH, M.Si;Laki-Laki;ASAHAN
872;asahan;PARTAI NASDEM;RM DWI RAHARJO, S.PSI;Laki-Laki;DELI SERDANG
873;asahan;PARTAI NASDEM;FINA NAZRAN, SH;Perempuan;KOTA MEDAN
875;asahan;PARTAI NASDEM;ISKANDAR ZULKARNAIN SITORUS;Laki-Laki;ASAHAN
876;asahan;PARTAI NASDEM;AMINAH ASMARA DEWI;Perempuan;KOTA MEDAN
877;asahan;PARTAI NASDEM;LEONARDO BARITA MANURUNG;Laki-Laki;BATU BARA
878;asahan;PPP;DARWIN, S.Ag, MAP;Laki-Laki;KOTA MEDAN
880;asahan;PPP;CHAIRANI JUMASRI;Perempuan;KOTA MEDAN
881;asahan;PPP;M. YUS HANAFY SIREGAR, ST;Laki-Laki;KOTA MEDAN
882;asahan;PPP;MARDIANTO, S.PdI;Laki-Laki;DELI SERDANG
883;asahan;PPP;ISMANIAR;Perempuan;DELI SERDANG
884;asahan;PPP;IR. SAHMAN HUTAGAOL;Laki-Laki;DELI SERDANG
885;asahan;PPP;AKMAL WASILAH, S.Pd;Perempuan;ASAHAN
886;asahan;PPP;MAS SYURIANI, S.Ag;Perempuan;BATU BARA
887;asahan;PPP;JULIAWATI;Perempuan;KOTA MEDAN
888;asahan;PSI;SYOFIAN BATUBARA;Laki-Laki;LABUHANBATU SELATAN
889;asahan;PSI;RINALDI SILITONGA, SE;Laki-Laki;DELI SERDANG
890;asahan;PSI;DHEA RETNO UTAMI;Perempuan;KOTA PEMATANGSIANTAR
891;asahan;PSI;CHAIRUL RASYID;Laki-Laki;KOTA TANJUNG BALAI
892;asahan;PSI;ELVIDAWATI;Perempuan;KOTA TANJUNG BALAI
893;asahan;PSI;YUSRIADI SITORUS;Laki-Laki;BATU BARA
903;asahan;PERINDO;Ir. ARIEF FANSYURI NASUTION, M.Si;Laki-Laki;ASAHAN
907;asahan;PAN;MUHAMMAD JUSUF SIRAIT, SE.;Laki-Laki;KOTA TANGERANG SELATAN
910;asahan;PAN;CHAIRUL PURBA;Laki-Laki;KOTA PEMATANGSIANTAR
916;asahan;PARTAI BERKARYA;AHMAD BAY LUBIS, S.H., M.H.;Laki-Laki;KOTA MEDAN
918;asahan;PARTAI BERKARYA;WINTER EDUWARD SITUMORANG, SH;Laki-Laki;JAKARTA TIMUR
936;asahan;DEMOKRAT;DR. HINCA IP PANDJAITAN XIII, S.H.,M.H.,ACCS.;Laki-Laki;KOTA BEKASI
937;asahan;DEMOKRAT;JANSEN SITINDAON, S.H.,M.H;Laki-Laki;KOTA MEDAN
938;asahan;DEMOKRAT;INDAH APRIANTI ELRISTA;Perempuan;JAKARTA SELATAN
939;asahan;DEMOKRAT;A FEIRAL RIZKY BATUBARA;Laki-Laki;KOTA MEDAN
940;asahan;DEMOKRAT;MARAJO ELEON HUTAGAOL, S.H.;Laki-Laki;JAKARTA TIMUR
941;asahan;DEMOKRAT;JEANNE RIA MARPAUNG;Perempuan;JAKARTA PUSAT
942;asahan;DEMOKRAT;Ir. SAHAT SARAGIH, M.T.;Laki-Laki;JAKARTA SELATAN
943;asahan;DEMOKRAT;Drs. DJONI SIANIPAR;Laki-Laki;JAKARTA UTARA
944;asahan;DEMOKRAT;INTAN MUSTIKA SENORITA;Perempuan;KOTA BANDUNG
945;asahan;DEMOKRAT;DARWIN MICHAEL AGUSTINUS;Laki-Laki;KOTA BEKASI
946;asahan;GERINDRA;MARTIN H HUTABARAT;Laki-Laki;JAKARTA SELATAN
947;asahan;GERINDRA;Prof. DR, Ir. DJOHAR ARIFIN HUSIN;Laki-Laki;LANGKAT
948;asahan;GERINDRA;NORA MALAU, S.Th, M.Th;Perempuan;JAKARTA TIMUR
949;asahan;GERINDRA;DWI APRIYANTI, S.Pd;Perempuan;KOTA PADANG
953;asahan;GERINDRA;Ir. ANDI AKMAL AMNUR;Laki-Laki;KOTA TANGERANG SELATAN
955;asahan;PARTAI GERAKAN PERUBAHAN INDONESIA;RISA SUSANTI SIREGAR, SE;Perempuan;JAKARTA TIMUR
956;asahan;PARTAI GERAKAN PERUBAHAN INDONESIA;WIXEN NANDO;Laki-Laki;MURUNG RAYA
957;asahan;GOLKAR;H. AHMAD DOLI KURNIA TANDJUNG;Laki-Laki;BOGOR
959;asahan;GOLKAR;IRAMA ANGKAT, S.Sos.I., M.Si;Perempuan;JAKARTA SELATAN
960;asahan;GOLKAR;DJAFAR RULIANSYAH LUBIS, M.H;Laki-Laki;KOTA MEDAN
961;asahan;GOLKAR;Ir. ALIWONGSO HALOMOAN SINAGA;Laki-Laki;JAKARTA SELATAN
962;asahan;GOLKAR;DELIA PRATIWI BR. SITEPU, S.H.;Perempuan;LANGKAT
963;asahan;GOLKAR;ADHERIE ZULFIKRI, S.H.;Laki-Laki;KOTA TANGERANG
964;asahan;GOLKAR;CHATRINE ANGELLA TJUATJA, S.E;Perempuan;JAKARTA BARAT
965;asahan;GOLKAR;Ir. TENGKU M. NURHAFIDZ;Laki-Laki;JAKARTA TIMUR
966;asahan;GOLKAR;ANGGIAT BARIS MANGISI MANALU, S.Pd., S.H;Laki-Laki;JAKARTA BARAT
967;asahan;HANURA;SAMSUDIN SIREGAR, SH;Laki-Laki;KOTA MEDAN
968;asahan;HANURA;MERLYN SAMOSIR;Perempuan;JAKARTA TIMUR
969;asahan;HANURA;LADY CHRISTINE ANGELIA SIPAYUNG;Perempuan;KOTA MEDAN
970;asahan;HANURA;PARLINDUNGAN SIAGIAN;Laki-Laki;BEKASI
971;asahan;HANURA;LINA RATNASARI;Perempuan;KOTA TANGERANG
972;asahan;HANURA;MARULI BUTAR BUTAR;Laki-Laki;KOTA BEKASI
973;asahan;HANURA;ASNA SIAHAAN;Perempuan;KOTA DEPOK
974;asahan;HANURA;Hj. LAILA HANIN, SE;Perempuan;JAKARTA SELATAN
975;asahan;HANURA;Ir. ALUSDIN SINAGA;Laki-Laki;KOTA MEDAN
976;asahan;PARTAI KEADILAN DAN PERSATUAN INDONESIA;YANNES TAMBUNAN;Laki-Laki;DELI SERDANG
977;asahan;PARTAI KEADILAN DAN PERSATUAN INDONESIA;ELPERIA TAMBUNAN;Perempuan;KOTA TANGERANG SELATAN
978;asahan;PKS;H. ANSORY SIREGAR;Laki-Laki;JAKARTA SELATAN
979;asahan;PKS;DR. USMAN JAKFAR, LC., MA;Laki-Laki;KOTA MEDAN
980;asahan;PKS;SYAHFITRI HANI HARAHAP, SH;Perempuan;JAKARTA SELATAN
984;asahan;PKS;H. SANUSI GHAZALI PANE, SE., M.Si;Laki-Laki;KOTA MEDAN
985;asahan;PKS;SITI JULAEHA;Perempuan;JAKARTA UTARA
986;asahan;PKS;Dr. (C). ZAINUDDIN NUR, S.H., ME.;Laki-Laki;KOTA MEDAN
992;asahan;PKB;SEVEN SIMANJUNTAK, S.Kep., Ners.;Perempuan;KOTA PEMATANGSIANTAR
993;asahan;PKB;A. JABIDI RITONGA;Laki-Laki;KOTA MEDAN
994;asahan;PKB;HERLINA NASUTION;Perempuan;LABUHANBATU
996;asahan;PARTAI NASDEM;H.M ALI UMRI,SH,MKN;Laki-Laki;KOTA BINJAI
997;asahan;PARTAI NASDEM;Dr. NURHAJIZAH M, SH, MH;Perempuan;KOTA TANGERANG
998;asahan;PARTAI NASDEM;H. RUDI HARTONO BANGUN, ,S.E, MAP;Laki-Laki;KOTA BINJAI
999;asahan;PARTAI NASDEM;DRS. TEDDY ROBINSON SIAHAAN, MM;Laki-Laki;JAKARTA SELATAN
1001;asahan;PARTAI NASDEM;ASHRI RAMADHAN BATUBARA, SH;Laki-Laki;DELI SERDANG
1002;asahan;PARTAI NASDEM;JORDIMAN PURBA, SE;Laki-Laki;KOTA TANGERANG
1003;asahan;PARTAI NASDEM;ANTHONY;Laki-Laki;TANGERANG
1004;asahan;PARTAI NASDEM;YOSSY APRIYANI S,PSI;Perempuan;KOTA MEDAN
1005;asahan;PARTAI NASDEM;TUMPU CAPAH, IR, M.Si.;Laki-Laki;KOTA MEDAN
1010;asahan;PPP;MAYLANINGSIH SUNDARI;Perempuan;JAKARTA PUSAT
1011;asahan;PPP;H. MUZAKHIR RIDA;Laki-Laki;JAKARTA SELATAN
1012;asahan;PPP;HERI INDRA UTAMA, SH;Laki-Laki;JAKARTA PUSAT
1015;asahan;PPP;TAMRINUDDIN;Laki-Laki;KOTA TANGERANG SELATAN
1016;asahan;PPP;FITRIANI;Perempuan;JAKARTA BARAT
1017;asahan;PPP;H. USMAN EFFENDI SITORUS S.AG;Laki-Laki;SERDANG BEDAGAI
1019;asahan;PSI;OJAK MARTUA RAJA SITUNGKIR;Laki-Laki;DAIRI
1020;asahan;PSI;SALOMO LUMBAN TOBING;Laki-Laki;JAKARTA TIMUR
1021;asahan;PSI;MIKHAEL MESTRO M.S, SST. Par., MM;Laki-Laki;KOTA BANDUNG
1023;asahan;PSI;YUNITA SUGIANTI;Perempuan;KOTA TANGERANG
1024;asahan;PSI;IR. HASUDUNGAN LIMBONG, MT;Laki-Laki;JAKARTA TIMUR
1026;asahan;PSI;MERRYANY GIRSANG, M.Sc;Perempuan;KOTA BEKASI
1027;asahan;PERINDO;Ir. ARYA MAHENDRA SINULINGGA;Laki-Laki;KOTA TANGERANG SELATAN
1028;asahan;PERINDO;FRANKY LIWIJAYA, S.H;Laki-Laki;ASAHAN
1030;asahan;PERINDO;Dr.. SORTAMAN SARAGIH;Laki-Laki;KOTA DEPOK
1032;asahan;PERINDO;ALFATI NOVA;Perempuan;JAKARTA SELATAN
1033;asahan;PERINDO;NATALIA CHRISTANTO, ST;Perempuan;JAKARTA TIMUR
1034;asahan;PERINDO;LIBER SIMBOLON, M.KOM;Laki-Laki;JAKARTA SELATAN
1041;bandung-barat;PARTAI BERKARYA;IKA KARTIKA;Perempuan;KOTA BANDUNG
1044;bandung-barat;PARTAI BERKARYA;IFA ZALFIAR KAMAL;Perempuan;KOTA BANDUNG
1045;bandung-barat;PARTAI BERKARYA;DANIEL TOGAR MARINGAN SINAGA;Laki-Laki;KOTA BANDUNG
1048;bandung-barat;PDIP;Dra. Hj.. AI SUPRIYATI;Perempuan;KOTA BANDUNG
1051;bandung-barat;DEMOKRAT;SALLY FEBIAN, SE, MM;Laki-Laki;KOTA BANDUNG
1052;bandung-barat;DEMOKRAT;HJ. DEWI SARIFAH SUKMANINGSIH, SH, MH;Perempuan;KOTA CIMAHI
1053;bandung-barat;DEMOKRAT;RANI MAYASARI;Perempuan;BANDUNG
1054;bandung-barat;DEMOKRAT;GILANG PRATAMA, , SE;Laki-Laki;BANDUNG
1055;bandung-barat;GERINDRA;TOBIAS GINANJAR SAYIDINA, S.AP.;Laki-Laki;BANDUNG BARAT
1056;bandung-barat;GERINDRA;TATANG GUNAWAN. SIP;Laki-Laki;BANDUNG BARAT
1057;bandung-barat;GERINDRA;R.EMA PURNAMA KERTABUDI, SH,M.SI;Perempuan;KOTA BANDUNG
1058;bandung-barat;GERINDRA;FITRI RAMDANA YANTI.S.SOS;Perempuan;KOTA BANDUNG
1059;bandung-barat;PARTAI GERAKAN PERUBAHAN INDONESIA;T.MULYADI;Laki-Laki;BANDUNG BARAT
1060;bandung-barat;PARTAI GERAKAN PERUBAHAN INDONESIA;AI SITI JULAEHA;Perempuan;PURWAKARTA
1062;bandung-barat;GOLKAR;SUKIM NUR ARIF, S.Ag;Laki-Laki;BANDUNG
1063;bandung-barat;GOLKAR;TATI SUPRIATI IRWAN, S.Sos;Perempuan;BANDUNG BARAT
1064;bandung-barat;GOLKAR;EDI RUSYANDI, S.Pd.I;Laki-Laki;BANDUNG BARAT
1065;bandung-barat;GOLKAR;PRAMESTI DEWI, SE;Perempuan;KOTA BANDUNG
1066;bandung-barat;HANURA;RIZAL HAFIS, S.Sos;Laki-Laki;KOTA BEKASI
1067;bandung-barat;HANURA;SOLEHUDIN;Laki-Laki;GARUT
1068;bandung-barat;HANURA;IKMAL NURUL ROHMAH;Perempuan;BANDUNG
1069;bandung-barat;PARTAI KEADILAN DAN PERSATUAN INDONESIA;YOSEP MAY SANDI;Laki-Laki;SUMEDANG
1070;bandung-barat;PARTAI KEADILAN DAN PERSATUAN INDONESIA;VERA IMELDASARI;Perempuan;JAKARTA SELATAN
1071;bandung-barat;PKS;AEP NURDIN, S.Ag., M.Si.;Laki-Laki;BANDUNG BARAT
1074;bandung-barat;PKS;Dra.. HJ. IRA DALILAH, M.AP.;Perempuan;KOTA BANDUNG
1081;bandung-barat;PARTAI NASDEM;YANTHI NURHAYATI NINGSIH, SE., MM.;Perempuan;KOTA CIMAHI
1082;bandung-barat;PARTAI NASDEM;ANDI SUKARYA;Laki-Laki;BANDUNG BARAT
1083;bandung-barat;PARTAI NASDEM;USEP SUKARNA;Laki-Laki;BANDUNG BARAT
1084;bandung-barat;PARTAI NASDEM;EVA RATNA;Perempuan;BOGOR
1085;bandung-barat;PPP;DHANI ROSYAD IMRON;Laki-Laki;BANDUNG BARAT
1086;bandung-barat;PPP;BABAN FAUZI;Laki-Laki;BANDUNG BARAT
1087;bandung-barat;PPP;ACIH SUKARSIH, S.Pd.I.;Perempuan;BANDUNG BARAT
1088;bandung-barat;PSI;NITA HANDRIYANI, S.Kom;Perempuan;KOTA BANDUNG
1089;bandung-barat;PERINDO;Dra.. EUIS ATIKAH;Perempuan;KOTA BANDUNG
1090;bandung-barat;PERINDO;USMAN SILITONGA, S.H.;Laki-Laki;KOTA BANDUNG
1091;bandung-barat;PERINDO;WIDYA LATIF TRENGGONO;Laki-Laki;BANDUNG BARAT
1092;bandung-barat;PERINDO;FITRI YULIANA;Perempuan;KOTA BANDUNG
1094;bandung-barat;PAN;Ir. SISWANDA H SUMARTO, MPM;Laki-Laki;KOTA BANDUNG
1095;bandung-barat;PAN;EKSANTI, AMD;Perempuan;BANDUNG
1096;bandung-barat;PAN;Drs. H. DUDIN SA?DUDIN, M.Si;Laki-Laki;KOTA BANDUNG
1097;bandung-barat;PAN;Mayjen TNI (Purn). H. RACHMAT BUDIYANTO;Laki-Laki;JAKARTA TIMUR
1104;bandung-barat;PARTAI BERKARYA;Drs. H. MARWAN EFFENDI, SH., M.Si.;Laki-Laki;BANDUNG
1110;bandung-barat;PARTAI BERKARYA;Dra. ALIDA HANDAU LAMPE G., M.Si.;Perempuan;BANDUNG BARAT
1111;bandung-barat;PARTAI BERKARYA;HILMAN BUDI BADARUSUHADA;Laki-Laki;JAKARTA PUSAT
