dapil,partai,agama
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI KEBANGKITAN BANGSA,-
kota-bogor,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
kota-sabang,PARTAI GERAKAN INDONESIA RAYA,Islam
majalengka,PARTAI KEADILAN SEJAHTERA,Islam
rote-ndao,PARTAI SOLIDARITAS INDONESIA,Katolik
subang,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-8,PARTAI GERAKAN PERUBAHAN INDONESIA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-4,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-5,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI GERAKAN INDONESIA RAYA,Islam
ende,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
asahan,PARTAI DEMOKRAT,Islam
kota-depok,PARTAI KEADILAN SEJAHTERA,Islam
sumba-tengah,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-6,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-12,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-2,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI GERAKAN INDONESIA RAYA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-4,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
kota-kupang,PARTAI AMANAT NASIONAL,-
sumba-tengah,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI KEADILAN SEJAHTERA,-
kota-depok,PERSATUAN INDONESIA,Islam
kupang,PARTAI BERKARYA,Kristen Protestan
sumba-tengah,PARTAI GERAKAN INDONESIA RAYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-10,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-5,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Hindu
cianjur,PARTAI DEMOKRAT,-
cianjur,PARTAI HATI NURANI RAKYAT,-
cirebon,PARTAI DEMOKRAT,-
indramayu,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
kota-sabang,PARTAI PERSATUAN PEMBANGUNAN,-
kota-tebing-tinggi,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-1,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-5,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-4,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI KEADILAN SEJAHTERA,-
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
asahan,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
manggarai,PARTAI GERAKAN INDONESIA RAYA,Katolik
manggarai-barat,PARTAI DEMOKRAT,Islam
sumba-barat-daya,PARTAI BULAN BINTANG,Katolik
sumba-tengah,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-1,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-5,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-6,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-4,PARTAI KEBANGKITAN BANGSA,Islam
aceh-utara,PARTAI HATI NURANI RAKYAT,-
pidie,PARTAI ACEH,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-2,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-1,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI GOLONGAN KARYA,-
kota-kupang,PARTAI KEBANGKITAN BANGSA,Katolik
sumba-barat,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-3,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI HATI NURANI RAKYAT,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-6,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-1,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-4,PERSATUAN INDONESIA,Islam
aceh-tengah,PARTAI NANGGROE ACEH,-
kota-kupang,PARTAI PERSATUAN PEMBANGUNAN,-
kota-sukabumi,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-6,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-9,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-4,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-1,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
ende,PARTAI NASDEM,Kristen Protestan
kota-depok,PARTAI NASDEM,Islam
kota-lhokseumawe,PARTAI PERSATUAN PEMBANGUNAN,Islam
kota-tebing-tinggi,PARTAI PERSATUAN PEMBANGUNAN,Islam
rote-ndao,PARTAI BERKARYA,Kristen Protestan
sikka,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-4,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
kota-bogor,PARTAI NASDEM,-
manggarai-timur,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
pidie-jaya,PARTAI GOLONGAN KARYA,-
sumba-barat,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PERSATUAN INDONESIA,-
deli-serdang,PARTAI BULAN BINTANG,Islam
kota-banda-aceh,PARTAI AMANAT NASIONAL,Islam
kota-bogor,PARTAI NASDEM,Islam
ngada,PARTAI BULAN BINTANG,Islam
purwakarta,PARTAI PERSATUAN PEMBANGUNAN,Islam
sabu-raijua,PARTAI AMANAT NASIONAL,Islam
sumba-barat,PARTAI KEADILAN SEJAHTERA,Islam
wajo,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-10,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-5,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-1,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI GERAKAN INDONESIA RAYA,Islam
majalengka,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-1,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
ngada,PARTAI GOLONGAN KARYA,Kristen Protestan
rote-ndao,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-2,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-8,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI DEMOKRAT,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-6,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-1,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-6,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI PERSATUAN PEMBANGUNAN,Islam
